# Verbatim lines replayed from a real, passing acceptance run.
# source: /Users/monkeyin/projects/memoria/outputs/acceptance/run-20260915-p0-03-metering-lifecycle-device/session-1/bridge.log (lines [17, 19, 30, 31, 67, 76, 78, 85, 95, 96, 98, 103, 105, 135, 136, 156, 160, 162, 183, 184, 203, 204, 208, 210, 222, 223])
#         /Users/monkeyin/projects/memoria/outputs/acceptance/run-20260915-p0-03-metering-lifecycle-device/session-1/serial.log (lines [241, 245, 247, 251, 253, 255, 259, 261, 263, 265, 267])
# format: <serial|bridge>	<exact original log line>
# two weather turns: ACK gen2/gen4, content gen3/gen5, session 684348e9-... epoch 1 stream 1955
serial	[2026-09-15T19:05:43.514+08:00] I (75267) StateMachine: State: connecting -> listening
bridge	2026-09-15T11:05:45.229594673Z INFO:services.agent.src.duplex_runtime:interaction_phase from=thinking_silent to=speaking cause=assistant_speaking session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=1 generation_id=1
bridge	2026-09-15T11:05:45.230067761Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-1/generation-1/tool-0 event=first_frame_sent terminal= terminal_reason= first_frame_sent=True provider_completed=False playback_ended=False actual_heard=False
serial	[2026-09-15T19:05:45.266+08:00] I (77027) StateMachine: State: listening -> speaking
serial	[2026-09-15T19:05:46.810+08:00] I (78567) StateMachine: State: speaking -> listening
bridge	2026-09-15T11:05:46.810711529Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-1/generation-1/tool-0 event=playback_ended terminal=playback_ended terminal_reason=playback_completed first_frame_sent=True provider_completed=True playback_ended=True actual_heard=True
bridge	2026-09-15T11:05:46.816976414Z INFO:services.agent.src.duplex_runtime:interaction_phase from=speaking to=listening cause=media_playback_ack session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=1 generation_id=1
bridge	2026-09-15T11:05:51.765134222Z INFO:services.agent.src.voice_core.media_session_commit:media turn committed session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 session_epoch=1 stream_epoch=1955 turn_id=2 generation_id=2 tool_epoch=0
bridge	2026-09-15T11:05:52.108691441Z INFO:services.agent.src.duplex_runtime:interaction_phase from=thinking_silent to=speaking cause=assistant_speaking session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=2 generation_id=2
bridge	2026-09-15T11:05:52.109788730Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-2/generation-2/tool-0 event=first_frame_sent terminal= terminal_reason= first_frame_sent=True provider_completed=False playback_ended=False actual_heard=False
serial	[2026-09-15T19:05:52.145+08:00] I (83907) StateMachine: State: listening -> speaking
bridge	2026-09-15T11:05:53.831274885Z INFO:services.agent.src.providers.open_meteo_weather:open meteo weather lookup completed model=open-meteo start_offset=0 days=3 elapsed_ms=2064
serial	[2026-09-15T19:05:54.711+08:00] I (86467) StateMachine: State: speaking -> listening
bridge	2026-09-15T11:05:54.712646831Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-2/generation-2/tool-0 event=playback_ended terminal=playback_ended terminal_reason=playback_completed first_frame_sent=True provider_completed=True playback_ended=True actual_heard=True
bridge	2026-09-15T11:05:54.719292841Z INFO:services.agent.src.duplex_runtime:interaction_phase from=speaking to=tool_waiting cause=media_playback_ack session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=2 generation_id=2
bridge	2026-09-15T11:05:54.719921530Z INFO:services.agent.src.duplex_runtime:interaction_phase from=tool_waiting to=thinking_silent cause=media_auxiliary_output session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=2 generation_id=3
bridge	2026-09-15T11:05:55.145222934Z INFO:services.agent.src.duplex_runtime:interaction_phase from=thinking_silent to=speaking cause=assistant_speaking session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=2 generation_id=3
bridge	2026-09-15T11:05:55.145907949Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-2/generation-3/tool-0 event=first_frame_sent terminal= terminal_reason= first_frame_sent=True provider_completed=False playback_ended=False actual_heard=False
serial	[2026-09-15T19:05:55.186+08:00] I (86947) StateMachine: State: listening -> speaking
serial	[2026-09-15T19:06:12.379+08:00] I (104137) StateMachine: State: speaking -> listening
bridge	2026-09-15T11:06:12.380595680Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-2/generation-3/tool-0 event=playback_ended terminal=playback_ended terminal_reason=playback_completed first_frame_sent=True provider_completed=True playback_ended=True actual_heard=True
bridge	2026-09-15T11:06:12.386326502Z INFO:services.agent.src.duplex_runtime:interaction_phase from=speaking to=listening cause=media_playback_ack session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=2 generation_id=3
bridge	2026-09-15T11:06:17.483530639Z INFO:services.agent.src.voice_core.media_session_commit:media turn committed session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 session_epoch=1 stream_epoch=1955 turn_id=3 generation_id=4 tool_epoch=0
bridge	2026-09-15T11:06:18.009074222Z INFO:services.agent.src.duplex_runtime:interaction_phase from=thinking_silent to=speaking cause=assistant_speaking session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=3 generation_id=4
bridge	2026-09-15T11:06:18.009838195Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-3/generation-4/tool-0 event=first_frame_sent terminal= terminal_reason= first_frame_sent=True provider_completed=False playback_ended=False actual_heard=False
serial	[2026-09-15T19:06:18.031+08:00] I (109787) StateMachine: State: listening -> speaking
serial	[2026-09-15T19:06:20.770+08:00] I (112527) StateMachine: State: speaking -> listening
bridge	2026-09-15T11:06:20.772274365Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-3/generation-4/tool-0 event=playback_ended terminal=playback_ended terminal_reason=playback_completed first_frame_sent=True provider_completed=True playback_ended=True actual_heard=True
bridge	2026-09-15T11:06:20.781767146Z INFO:services.agent.src.duplex_runtime:interaction_phase from=speaking to=tool_waiting cause=media_playback_ack session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=3 generation_id=4
bridge	2026-09-15T11:06:25.414850434Z INFO:services.agent.src.providers.open_meteo_weather:open meteo weather lookup completed model=open-meteo start_offset=0 days=1 elapsed_ms=7930
bridge	2026-09-15T11:06:25.417438380Z INFO:services.agent.src.duplex_runtime:interaction_phase from=tool_waiting to=thinking_silent cause=media_auxiliary_output session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=3 generation_id=5
bridge	2026-09-15T11:06:25.798800702Z INFO:services.agent.src.duplex_runtime:interaction_phase from=thinking_silent to=speaking cause=assistant_speaking session_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875 turn_id=3 generation_id=5
bridge	2026-09-15T11:06:25.800123645Z INFO:services.agent.src.voice_core.media_session_output_dispatch:media reply delivery session=684348e9-8f4e-4c6a-b5b9-58e0306d3875 delivery_id=684348e9-8f4e-4c6a-b5b9-58e0306d3875/epoch-1/turn-3/generation-5/tool-0 event=first_frame_sent terminal= terminal_reason= first_frame_sent=True provider_completed=False playback_ended=False actual_heard=False
serial	[2026-09-15T19:06:25.820+08:00] I (117577) StateMachine: State: listening -> speaking
serial	[2026-09-15T19:06:31.240+08:00] I (122997) StateMachine: State: speaking -> listening
